Tracker,Status,Priority,Subject,Category,Estimated time,Description,Caratteristica di riferimento
To-Do,New,Normal,"java:S2390:  ""Remove this reference to LabelForm.""",CRITICAL,20min,Key: AYfl9rbKd9SEFTPV55wU Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/bytecode/forms/ByteCodeForm.java - startLine: 198;startOffset: 33;endOffset: 42;endLine: 198,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2390:  ""Remove this reference to LabelForm.""",CRITICAL,20min,Key: AYfl9rbKd9SEFTPV55wV Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/bytecode/forms/ByteCodeForm.java - startLine: 199;startOffset: 33;endOffset: 42;endLine: 199,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2390:  ""Remove this reference to LabelForm.""",CRITICAL,20min,Key: AYfl9rbKd9SEFTPV55wW Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/bytecode/forms/ByteCodeForm.java - startLine: 200;startOffset: 33;endOffset: 42;endLine: 200,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2390:  ""Remove this reference to LabelForm.""",CRITICAL,20min,Key: AYfl9rbKd9SEFTPV55wX Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/bytecode/forms/ByteCodeForm.java - startLine: 201;startOffset: 33;endOffset: 42;endLine: 201,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2390:  ""Remove this reference to LabelForm.""",CRITICAL,20min,Key: AYfl9rbKd9SEFTPV55wY Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/bytecode/forms/ByteCodeForm.java - startLine: 202;startOffset: 33;endOffset: 42;endLine: 202,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2390:  ""Remove this reference to FieldRefForm.""",CRITICAL,20min,Key: AYfl9rbKd9SEFTPV55wi Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/bytecode/forms/ByteCodeForm.java - startLine: 212;startOffset: 33;endOffset: 45;endLine: 212,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2390:  ""Remove this reference to FieldRefForm.""",CRITICAL,20min,Key: AYfl9rbKd9SEFTPV55wj Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/bytecode/forms/ByteCodeForm.java - startLine: 213;startOffset: 33;endOffset: 45;endLine: 213,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2390:  ""Remove this reference to FieldRefForm.""",CRITICAL,20min,Key: AYfl9rbKd9SEFTPV55wk Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/bytecode/forms/ByteCodeForm.java - startLine: 214;startOffset: 33;endOffset: 45;endLine: 214,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2390:  ""Remove this reference to FieldRefForm.""",CRITICAL,20min,Key: AYfl9rbKd9SEFTPV55wl Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/bytecode/forms/ByteCodeForm.java - startLine: 215;startOffset: 33;endOffset: 45;endLine: 215,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2390:  ""Remove this reference to MethodRefForm.""",CRITICAL,20min,Key: AYfl9rbKd9SEFTPV55wm Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/bytecode/forms/ByteCodeForm.java - startLine: 216;startOffset: 33;endOffset: 46;endLine: 216,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2390:  ""Remove this reference to MethodRefForm.""",CRITICAL,20min,Key: AYfl9rbKd9SEFTPV55wn Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/bytecode/forms/ByteCodeForm.java - startLine: 217;startOffset: 33;endOffset: 46;endLine: 217,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2390:  ""Remove this reference to MethodRefForm.""",CRITICAL,20min,Key: AYfl9rbKd9SEFTPV55wo Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/bytecode/forms/ByteCodeForm.java - startLine: 218;startOffset: 33;endOffset: 46;endLine: 218,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2390:  ""Remove this reference to IMethodRefForm.""",CRITICAL,20min,Key: AYfl9rbKd9SEFTPV55wp Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/bytecode/forms/ByteCodeForm.java - startLine: 219;startOffset: 33;endOffset: 47;endLine: 219,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2390:  ""Remove this reference to NewClassRefForm.""",CRITICAL,20min,Key: AYfl9rbKd9SEFTPV55wr Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/bytecode/forms/ByteCodeForm.java - startLine: 221;startOffset: 33;endOffset: 48;endLine: 221,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2390:  ""Remove this reference to ByteForm.""",CRITICAL,20min,Key: AYfl9rbKd9SEFTPV55ws Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/bytecode/forms/ByteCodeForm.java - startLine: 222;startOffset: 33;endOffset: 41;endLine: 222,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2390:  ""Remove this reference to ClassRefForm.""",CRITICAL,20min,Key: AYfl9rbKd9SEFTPV55wt Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/bytecode/forms/ByteCodeForm.java - startLine: 223;startOffset: 33;endOffset: 45;endLine: 223,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2390:  ""Remove this reference to ClassRefForm.""",CRITICAL,20min,Key: AYfl9rbKd9SEFTPV55ww Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/bytecode/forms/ByteCodeForm.java - startLine: 226;startOffset: 33;endOffset: 45;endLine: 226,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2390:  ""Remove this reference to ClassRefForm.""",CRITICAL,20min,Key: AYfl9rbKd9SEFTPV55wx Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/bytecode/forms/ByteCodeForm.java - startLine: 227;startOffset: 33;endOffset: 45;endLine: 227,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2390:  ""Remove this reference to MultiANewArrayForm.""",CRITICAL,20min,Key: AYfl9rbKd9SEFTPV55w1 Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/bytecode/forms/ByteCodeForm.java - startLine: 231;startOffset: 33;endOffset: 51;endLine: 231,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2390:  ""Remove this reference to LabelForm.""",CRITICAL,20min,Key: AYfl9rbKd9SEFTPV55w2 Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/bytecode/forms/ByteCodeForm.java - startLine: 232;startOffset: 33;endOffset: 42;endLine: 232,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2390:  ""Remove this reference to LabelForm.""",CRITICAL,20min,Key: AYfl9rbKd9SEFTPV55w3 Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/bytecode/forms/ByteCodeForm.java - startLine: 233;startOffset: 33;endOffset: 42;endLine: 233,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2390:  ""Remove this reference to LabelForm.""",CRITICAL,20min,Key: AYfl9rbKd9SEFTPV55w4 Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/bytecode/forms/ByteCodeForm.java - startLine: 234;startOffset: 33;endOffset: 42;endLine: 234,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2390:  ""Remove this reference to LabelForm.""",CRITICAL,20min,Key: AYfl9rbKd9SEFTPV55w5 Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/bytecode/forms/ByteCodeForm.java - startLine: 235;startOffset: 33;endOffset: 42;endLine: 235,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2390:  ""Remove this reference to ThisFieldRefForm.""",CRITICAL,20min,Key: AYfl9rbKd9SEFTPV55w6 Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/bytecode/forms/ByteCodeForm.java - startLine: 238;startOffset: 33;endOffset: 49;endLine: 238,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2390:  ""Remove this reference to ThisFieldRefForm.""",CRITICAL,20min,Key: AYfl9rbKd9SEFTPV55w7 Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/bytecode/forms/ByteCodeForm.java - startLine: 239;startOffset: 33;endOffset: 49;endLine: 239,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2390:  ""Remove this reference to ThisFieldRefForm.""",CRITICAL,20min,Key: AYfl9rbKd9SEFTPV55w8 Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/bytecode/forms/ByteCodeForm.java - startLine: 240;startOffset: 33;endOffset: 49;endLine: 240,Maintenance (Code Smells)
