Tracker,Status,Priority,Subject,Category,Estimated time,Description,Caratteristica di riferimento
To-Do,New,Normal,"java:S2390:  ""Remove this reference to BHSDCodec.""",CRITICAL,20min,Key: AYfl9rkrd9SEFTPV55-s Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/pack200/Codec.java - startLine: 46;startOffset: 46;endOffset: 55;endLine: 46,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2390:  ""Remove this reference to BHSDCodec.""",CRITICAL,20min,Key: AYfl9rkrd9SEFTPV55-t Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/pack200/Codec.java - startLine: 52;startOffset: 46;endOffset: 55;endLine: 52,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2390:  ""Remove this reference to BHSDCodec.""",CRITICAL,20min,Key: AYfl9rkrd9SEFTPV55-u Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/pack200/Codec.java - startLine: 58;startOffset: 47;endOffset: 56;endLine: 58,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2390:  ""Remove this reference to BHSDCodec.""",CRITICAL,20min,Key: AYfl9rkrd9SEFTPV55-v Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/pack200/Codec.java - startLine: 64;startOffset: 48;endOffset: 57;endLine: 64,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2390:  ""Remove this reference to BHSDCodec.""",CRITICAL,20min,Key: AYfl9rkrd9SEFTPV55-w Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/pack200/Codec.java - startLine: 69;startOffset: 48;endOffset: 57;endLine: 69,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2390:  ""Remove this reference to BHSDCodec.""",CRITICAL,20min,Key: AYfl9rkrd9SEFTPV55-x Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/pack200/Codec.java - startLine: 75;startOffset: 48;endOffset: 57;endLine: 75,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2390:  ""Remove this reference to BHSDCodec.""",CRITICAL,20min,Key: AYfl9rkrd9SEFTPV55-y Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/pack200/Codec.java - startLine: 80;startOffset: 50;endOffset: 59;endLine: 80,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2390:  ""Remove this reference to NoArgumentForm.""",CRITICAL,20min,Key: AYfl9rbKd9SEFTPV55tw Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/bytecode/forms/ByteCodeForm.java - startLine: 34;startOffset: 31;endOffset: 45;endLine: 34,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2390:  ""Remove this reference to NoArgumentForm.""",CRITICAL,20min,Key: AYfl9rbKd9SEFTPV55tx Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/bytecode/forms/ByteCodeForm.java - startLine: 35;startOffset: 31;endOffset: 45;endLine: 35,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2390:  ""Remove this reference to NoArgumentForm.""",CRITICAL,20min,Key: AYfl9rbKd9SEFTPV55ty Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/bytecode/forms/ByteCodeForm.java - startLine: 36;startOffset: 31;endOffset: 45;endLine: 36,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2390:  ""Remove this reference to NoArgumentForm.""",CRITICAL,20min,Key: AYfl9rbKd9SEFTPV55tz Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/bytecode/forms/ByteCodeForm.java - startLine: 37;startOffset: 31;endOffset: 45;endLine: 37,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2390:  ""Remove this reference to NoArgumentForm.""",CRITICAL,20min,Key: AYfl9rbKd9SEFTPV55t0 Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/bytecode/forms/ByteCodeForm.java - startLine: 38;startOffset: 31;endOffset: 45;endLine: 38,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2390:  ""Remove this reference to NoArgumentForm.""",CRITICAL,20min,Key: AYfl9rbKd9SEFTPV55t1 Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/bytecode/forms/ByteCodeForm.java - startLine: 39;startOffset: 31;endOffset: 45;endLine: 39,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2390:  ""Remove this reference to NoArgumentForm.""",CRITICAL,20min,Key: AYfl9rbKd9SEFTPV55t2 Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/bytecode/forms/ByteCodeForm.java - startLine: 40;startOffset: 31;endOffset: 45;endLine: 40,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2390:  ""Remove this reference to NoArgumentForm.""",CRITICAL,20min,Key: AYfl9rbKd9SEFTPV55t3 Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/bytecode/forms/ByteCodeForm.java - startLine: 41;startOffset: 31;endOffset: 45;endLine: 41,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2390:  ""Remove this reference to NoArgumentForm.""",CRITICAL,20min,Key: AYfl9rbKd9SEFTPV55t4 Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/bytecode/forms/ByteCodeForm.java - startLine: 42;startOffset: 31;endOffset: 45;endLine: 42,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2390:  ""Remove this reference to NoArgumentForm.""",CRITICAL,20min,Key: AYfl9rbKd9SEFTPV55t5 Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/bytecode/forms/ByteCodeForm.java - startLine: 43;startOffset: 31;endOffset: 45;endLine: 43,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2390:  ""Remove this reference to NoArgumentForm.""",CRITICAL,20min,Key: AYfl9rbKd9SEFTPV55t6 Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/bytecode/forms/ByteCodeForm.java - startLine: 44;startOffset: 32;endOffset: 46;endLine: 44,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2390:  ""Remove this reference to NoArgumentForm.""",CRITICAL,20min,Key: AYfl9rbKd9SEFTPV55t7 Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/bytecode/forms/ByteCodeForm.java - startLine: 45;startOffset: 32;endOffset: 46;endLine: 45,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2390:  ""Remove this reference to NoArgumentForm.""",CRITICAL,20min,Key: AYfl9rbKd9SEFTPV55t8 Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/bytecode/forms/ByteCodeForm.java - startLine: 46;startOffset: 32;endOffset: 46;endLine: 46,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2390:  ""Remove this reference to NoArgumentForm.""",CRITICAL,20min,Key: AYfl9rbKd9SEFTPV55t9 Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/bytecode/forms/ByteCodeForm.java - startLine: 47;startOffset: 32;endOffset: 46;endLine: 47,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2390:  ""Remove this reference to NoArgumentForm.""",CRITICAL,20min,Key: AYfl9rbKd9SEFTPV55t- Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/bytecode/forms/ByteCodeForm.java - startLine: 48;startOffset: 32;endOffset: 46;endLine: 48,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2390:  ""Remove this reference to NoArgumentForm.""",CRITICAL,20min,Key: AYfl9rbKd9SEFTPV55t_ Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/bytecode/forms/ByteCodeForm.java - startLine: 49;startOffset: 32;endOffset: 46;endLine: 49,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2390:  ""Remove this reference to ByteForm.""",CRITICAL,20min,Key: AYfl9rbKd9SEFTPV55uA Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/bytecode/forms/ByteCodeForm.java - startLine: 50;startOffset: 32;endOffset: 40;endLine: 50,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2390:  ""Remove this reference to StringRefForm.""",CRITICAL,20min,Key: AYfl9rbKd9SEFTPV55uC Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/bytecode/forms/ByteCodeForm.java - startLine: 52;startOffset: 32;endOffset: 45;endLine: 52,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2390:  ""Remove this reference to LongForm.""",CRITICAL,20min,Key: AYfl9rbKd9SEFTPV55uE Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/bytecode/forms/ByteCodeForm.java - startLine: 54;startOffset: 32;endOffset: 40;endLine: 54,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2390:  ""Remove this reference to LocalForm.""",CRITICAL,20min,Key: AYfl9rbKd9SEFTPV55uF Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/bytecode/forms/ByteCodeForm.java - startLine: 55;startOffset: 32;endOffset: 41;endLine: 55,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2390:  ""Remove this reference to LocalForm.""",CRITICAL,20min,Key: AYfl9rbKd9SEFTPV55uG Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/bytecode/forms/ByteCodeForm.java - startLine: 56;startOffset: 32;endOffset: 41;endLine: 56,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2390:  ""Remove this reference to LocalForm.""",CRITICAL,20min,Key: AYfl9rbKd9SEFTPV55uH Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/bytecode/forms/ByteCodeForm.java - startLine: 57;startOffset: 32;endOffset: 41;endLine: 57,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2390:  ""Remove this reference to LocalForm.""",CRITICAL,20min,Key: AYfl9rbKd9SEFTPV55uI Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/bytecode/forms/ByteCodeForm.java - startLine: 58;startOffset: 32;endOffset: 41;endLine: 58,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2390:  ""Remove this reference to LocalForm.""",CRITICAL,20min,Key: AYfl9rbKd9SEFTPV55uJ Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/bytecode/forms/ByteCodeForm.java - startLine: 59;startOffset: 32;endOffset: 41;endLine: 59,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2390:  ""Remove this reference to NoArgumentForm.""",CRITICAL,20min,Key: AYfl9rbKd9SEFTPV55uK Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/bytecode/forms/ByteCodeForm.java - startLine: 60;startOffset: 32;endOffset: 46;endLine: 60,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2390:  ""Remove this reference to NoArgumentForm.""",CRITICAL,20min,Key: AYfl9rbKd9SEFTPV55uL Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/bytecode/forms/ByteCodeForm.java - startLine: 61;startOffset: 32;endOffset: 46;endLine: 61,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2390:  ""Remove this reference to NoArgumentForm.""",CRITICAL,20min,Key: AYfl9rbKd9SEFTPV55uM Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/bytecode/forms/ByteCodeForm.java - startLine: 62;startOffset: 32;endOffset: 46;endLine: 62,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2390:  ""Remove this reference to NoArgumentForm.""",CRITICAL,20min,Key: AYfl9rbKd9SEFTPV55uN Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/bytecode/forms/ByteCodeForm.java - startLine: 63;startOffset: 32;endOffset: 46;endLine: 63,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2390:  ""Remove this reference to NoArgumentForm.""",CRITICAL,20min,Key: AYfl9rbKd9SEFTPV55uO Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/bytecode/forms/ByteCodeForm.java - startLine: 64;startOffset: 32;endOffset: 46;endLine: 64,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2390:  ""Remove this reference to NoArgumentForm.""",CRITICAL,20min,Key: AYfl9rbKd9SEFTPV55uP Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/bytecode/forms/ByteCodeForm.java - startLine: 65;startOffset: 32;endOffset: 46;endLine: 65,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2390:  ""Remove this reference to NoArgumentForm.""",CRITICAL,20min,Key: AYfl9rbKd9SEFTPV55uQ Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/bytecode/forms/ByteCodeForm.java - startLine: 66;startOffset: 32;endOffset: 46;endLine: 66,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2390:  ""Remove this reference to NoArgumentForm.""",CRITICAL,20min,Key: AYfl9rbKd9SEFTPV55uR Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/bytecode/forms/ByteCodeForm.java - startLine: 67;startOffset: 32;endOffset: 46;endLine: 67,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2390:  ""Remove this reference to NoArgumentForm.""",CRITICAL,20min,Key: AYfl9rbKd9SEFTPV55uS Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/bytecode/forms/ByteCodeForm.java - startLine: 68;startOffset: 32;endOffset: 46;endLine: 68,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2390:  ""Remove this reference to NoArgumentForm.""",CRITICAL,20min,Key: AYfl9rbKd9SEFTPV55uT Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/bytecode/forms/ByteCodeForm.java - startLine: 69;startOffset: 32;endOffset: 46;endLine: 69,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2390:  ""Remove this reference to NoArgumentForm.""",CRITICAL,20min,Key: AYfl9rbKd9SEFTPV55uU Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/bytecode/forms/ByteCodeForm.java - startLine: 70;startOffset: 32;endOffset: 46;endLine: 70,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2390:  ""Remove this reference to NoArgumentForm.""",CRITICAL,20min,Key: AYfl9rbKd9SEFTPV55uV Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/bytecode/forms/ByteCodeForm.java - startLine: 71;startOffset: 32;endOffset: 46;endLine: 71,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2390:  ""Remove this reference to NoArgumentForm.""",CRITICAL,20min,Key: AYfl9rbKd9SEFTPV55uW Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/bytecode/forms/ByteCodeForm.java - startLine: 72;startOffset: 32;endOffset: 46;endLine: 72,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2390:  ""Remove this reference to NoArgumentForm.""",CRITICAL,20min,Key: AYfl9rbKd9SEFTPV55uX Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/bytecode/forms/ByteCodeForm.java - startLine: 73;startOffset: 32;endOffset: 46;endLine: 73,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2390:  ""Remove this reference to NoArgumentForm.""",CRITICAL,20min,Key: AYfl9rbKd9SEFTPV55uY Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/bytecode/forms/ByteCodeForm.java - startLine: 74;startOffset: 32;endOffset: 46;endLine: 74,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2390:  ""Remove this reference to NoArgumentForm.""",CRITICAL,20min,Key: AYfl9rbKd9SEFTPV55uZ Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/bytecode/forms/ByteCodeForm.java - startLine: 75;startOffset: 32;endOffset: 46;endLine: 75,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2390:  ""Remove this reference to NoArgumentForm.""",CRITICAL,20min,Key: AYfl9rbKd9SEFTPV55ua Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/bytecode/forms/ByteCodeForm.java - startLine: 76;startOffset: 32;endOffset: 46;endLine: 76,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2390:  ""Remove this reference to NoArgumentForm.""",CRITICAL,20min,Key: AYfl9rbKd9SEFTPV55ub Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/bytecode/forms/ByteCodeForm.java - startLine: 77;startOffset: 32;endOffset: 46;endLine: 77,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2390:  ""Remove this reference to NoArgumentForm.""",CRITICAL,20min,Key: AYfl9rbKd9SEFTPV55uc Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/bytecode/forms/ByteCodeForm.java - startLine: 78;startOffset: 32;endOffset: 46;endLine: 78,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2390:  ""Remove this reference to NoArgumentForm.""",CRITICAL,20min,Key: AYfl9rbKd9SEFTPV55ud Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/bytecode/forms/ByteCodeForm.java - startLine: 79;startOffset: 32;endOffset: 46;endLine: 79,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2390:  ""Remove this reference to NoArgumentForm.""",CRITICAL,20min,Key: AYfl9rbKd9SEFTPV55ue Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/bytecode/forms/ByteCodeForm.java - startLine: 80;startOffset: 32;endOffset: 46;endLine: 80,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2390:  ""Remove this reference to NoArgumentForm.""",CRITICAL,20min,Key: AYfl9rbKd9SEFTPV55uf Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/bytecode/forms/ByteCodeForm.java - startLine: 81;startOffset: 32;endOffset: 46;endLine: 81,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2390:  ""Remove this reference to NoArgumentForm.""",CRITICAL,20min,Key: AYfl9rbKd9SEFTPV55ug Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/bytecode/forms/ByteCodeForm.java - startLine: 82;startOffset: 32;endOffset: 46;endLine: 82,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2390:  ""Remove this reference to NoArgumentForm.""",CRITICAL,20min,Key: AYfl9rbKd9SEFTPV55uh Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/bytecode/forms/ByteCodeForm.java - startLine: 83;startOffset: 32;endOffset: 46;endLine: 83,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2390:  ""Remove this reference to NoArgumentForm.""",CRITICAL,20min,Key: AYfl9rbKd9SEFTPV55ui Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/bytecode/forms/ByteCodeForm.java - startLine: 84;startOffset: 32;endOffset: 46;endLine: 84,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2390:  ""Remove this reference to NoArgumentForm.""",CRITICAL,20min,Key: AYfl9rbKd9SEFTPV55uj Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/bytecode/forms/ByteCodeForm.java - startLine: 85;startOffset: 32;endOffset: 46;endLine: 85,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2390:  ""Remove this reference to NoArgumentForm.""",CRITICAL,20min,Key: AYfl9rbKd9SEFTPV55uk Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/bytecode/forms/ByteCodeForm.java - startLine: 86;startOffset: 32;endOffset: 46;endLine: 86,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2390:  ""Remove this reference to NoArgumentForm.""",CRITICAL,20min,Key: AYfl9rbKd9SEFTPV55ul Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/bytecode/forms/ByteCodeForm.java - startLine: 87;startOffset: 32;endOffset: 46;endLine: 87,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2390:  ""Remove this reference to LocalForm.""",CRITICAL,20min,Key: AYfl9rbKd9SEFTPV55um Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/bytecode/forms/ByteCodeForm.java - startLine: 88;startOffset: 32;endOffset: 41;endLine: 88,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2390:  ""Remove this reference to LocalForm.""",CRITICAL,20min,Key: AYfl9rbKd9SEFTPV55un Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/bytecode/forms/ByteCodeForm.java - startLine: 89;startOffset: 32;endOffset: 41;endLine: 89,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2390:  ""Remove this reference to LocalForm.""",CRITICAL,20min,Key: AYfl9rbKd9SEFTPV55uo Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/bytecode/forms/ByteCodeForm.java - startLine: 90;startOffset: 32;endOffset: 41;endLine: 90,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2390:  ""Remove this reference to LocalForm.""",CRITICAL,20min,Key: AYfl9rbKd9SEFTPV55up Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/bytecode/forms/ByteCodeForm.java - startLine: 91;startOffset: 32;endOffset: 41;endLine: 91,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2390:  ""Remove this reference to LocalForm.""",CRITICAL,20min,Key: AYfl9rbKd9SEFTPV55uq Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/bytecode/forms/ByteCodeForm.java - startLine: 92;startOffset: 32;endOffset: 41;endLine: 92,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2390:  ""Remove this reference to NoArgumentForm.""",CRITICAL,20min,Key: AYfl9rbKd9SEFTPV55ur Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/bytecode/forms/ByteCodeForm.java - startLine: 93;startOffset: 32;endOffset: 46;endLine: 93,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2390:  ""Remove this reference to NoArgumentForm.""",CRITICAL,20min,Key: AYfl9rbKd9SEFTPV55us Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/bytecode/forms/ByteCodeForm.java - startLine: 94;startOffset: 32;endOffset: 46;endLine: 94,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2390:  ""Remove this reference to NoArgumentForm.""",CRITICAL,20min,Key: AYfl9rbKd9SEFTPV55ut Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/bytecode/forms/ByteCodeForm.java - startLine: 95;startOffset: 32;endOffset: 46;endLine: 95,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2390:  ""Remove this reference to NoArgumentForm.""",CRITICAL,20min,Key: AYfl9rbKd9SEFTPV55uu Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/bytecode/forms/ByteCodeForm.java - startLine: 96;startOffset: 32;endOffset: 46;endLine: 96,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2390:  ""Remove this reference to NoArgumentForm.""",CRITICAL,20min,Key: AYfl9rbKd9SEFTPV55uv Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/bytecode/forms/ByteCodeForm.java - startLine: 97;startOffset: 32;endOffset: 46;endLine: 97,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2390:  ""Remove this reference to NoArgumentForm.""",CRITICAL,20min,Key: AYfl9rbKd9SEFTPV55uw Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/bytecode/forms/ByteCodeForm.java - startLine: 98;startOffset: 32;endOffset: 46;endLine: 98,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2390:  ""Remove this reference to NoArgumentForm.""",CRITICAL,20min,Key: AYfl9rbKd9SEFTPV55ux Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/bytecode/forms/ByteCodeForm.java - startLine: 99;startOffset: 32;endOffset: 46;endLine: 99,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2390:  ""Remove this reference to NoArgumentForm.""",CRITICAL,20min,Key: AYfl9rbKd9SEFTPV55uy Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/bytecode/forms/ByteCodeForm.java - startLine: 100;startOffset: 32;endOffset: 46;endLine: 100,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2390:  ""Remove this reference to NoArgumentForm.""",CRITICAL,20min,Key: AYfl9rbKd9SEFTPV55uz Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/bytecode/forms/ByteCodeForm.java - startLine: 101;startOffset: 32;endOffset: 46;endLine: 101,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2390:  ""Remove this reference to NoArgumentForm.""",CRITICAL,20min,Key: AYfl9rbKd9SEFTPV55u0 Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/bytecode/forms/ByteCodeForm.java - startLine: 102;startOffset: 32;endOffset: 46;endLine: 102,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2390:  ""Remove this reference to NoArgumentForm.""",CRITICAL,20min,Key: AYfl9rbKd9SEFTPV55u1 Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/bytecode/forms/ByteCodeForm.java - startLine: 103;startOffset: 32;endOffset: 46;endLine: 103,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2390:  ""Remove this reference to NoArgumentForm.""",CRITICAL,20min,Key: AYfl9rbKd9SEFTPV55u2 Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/bytecode/forms/ByteCodeForm.java - startLine: 104;startOffset: 32;endOffset: 46;endLine: 104,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2390:  ""Remove this reference to NoArgumentForm.""",CRITICAL,20min,Key: AYfl9rbKd9SEFTPV55u3 Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/bytecode/forms/ByteCodeForm.java - startLine: 105;startOffset: 32;endOffset: 46;endLine: 105,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2390:  ""Remove this reference to NoArgumentForm.""",CRITICAL,20min,Key: AYfl9rbKd9SEFTPV55u4 Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/bytecode/forms/ByteCodeForm.java - startLine: 106;startOffset: 32;endOffset: 46;endLine: 106,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2390:  ""Remove this reference to NoArgumentForm.""",CRITICAL,20min,Key: AYfl9rbKd9SEFTPV55u5 Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/bytecode/forms/ByteCodeForm.java - startLine: 107;startOffset: 32;endOffset: 46;endLine: 107,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2390:  ""Remove this reference to NoArgumentForm.""",CRITICAL,20min,Key: AYfl9rbKd9SEFTPV55u6 Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/bytecode/forms/ByteCodeForm.java - startLine: 108;startOffset: 32;endOffset: 46;endLine: 108,Maintenance (Code Smells)
